Title,Year,Number of Songs,Film Director,Film Producer,Film cast,Lyricist,Music Director,Singer,External links,Watch Full Movie
Chacha Bhatija,(1977),8,Manmohan Desai,"Baldev Pushkarna, M M Malhotra","Dharmendra, Hema Malini, Randhir Kapoor, Yogita Bali, Rehman, Jeevan, Anwar Hussan, Indrani Mukherjee, Bhagwan, Durga Khote, Roopesh Kumar, Moolchand, Keshto Mukherjee, Tun Tun, Dev Kumar",Anand Bakshi,"Laxmikant, Pyarelal","Lata Mangeshkar, Mohammed Rafi, Asha Bhosle, Shailendra Singh","https://www.imdb.com/title/tt0213544, http://en.wikipedia.org/wiki/Chacha_Bhatija","https://www.youtube.com/watch?v=3TAaRkbEiUY, https://www.youtube.com/watch?v=9E3LZ-PYB2Q"
Chak De India,(2007),7,Shimit Amin,Aditya Chopra,"Shahrukh Khan, Vidya Malvade, Nakul Vaid, Sagarika Ghatge, Chitrashi Rawat, Shilpa Shukla, Tanya Abrol, Anaitha Nair, Shubhi Mehta, Nisha Nair, Sandia Furtado, Arya Menon, Masochon V. Zimik, Kimi Laldawla, Anjan Srivastava, Javed Khan, Vibha Chibbar, Kimberly Miranda, Nicola Sequeira, Raynia D",Jaideep Sahni,"Salim Merchant, Sulaiman Merchant","Anushka Manchanda, Hema Sardesai, K K, Krishna, Marianne D'Cruz, Midival Punditz, Salim Merchant, Shahrukh Khan, Sukhwinder Singh","https://www.imdb.com/title/tt0871510, http://en.wikipedia.org/wiki/Chak_De_India",
Chalte Chalte,(1976),7,Sunder Dhar,Bhisham Kohli,"Vishal Anand, Simi Garewal, Tarun Ghosh, Nazneen, Jagdish Raaj, Shreeram Lagoo, Jankidas, Dinesh Hingoo",Amit Khanna,Bappi Lahiri,"Bappi Lahiri, Kishore Kumar, Lata Mangeshkar, Shailendra Singh, Sulakhshana Pandit","https://www.imdb.com/title/tt0360463, http://en.wikipedia.org/wiki/Chalte_Chalte_(1976_film)","https://www.youtube.com/watch?v=TFpGlBve6vM, https://www.youtube.com/watch?v=x2_nbzGBgLs"
Chalte Chalte,(2003),9,Aziz Mirza,"Aziz Mirza, Juhi Chawla, Shahrukh Khan","Shahrukh Khan, Rani Mukherjee, Jas Arora, Satish Shah, Lilette Dubey, Johny Lever, Vishwajeet Pradhan, Suresh Bhagwat, Dinyar Tirandaz, Rajeev Varma, Jay Shree T, Suresh Menon, Masood Akhtar, Gagan Gupta, Sushmita Daan, Arun Singh, Akhtar Nawaz, Kamini Khanna, Bobby Darling, Madhavi Chopra, Aditya Pancholi, Jameel Khan, Ashish Kapoor","Babu Maan, Javed Akhtar, Pappu Dhillon","Jatin Pandit, Lalit Pandit, Aadesh Shrivastav","Abhijeet, Alka Yagnik, Pinky, Preeti, Sonu Nigam, Sukhwinder Singh, Udit Narayan","https://www.imdb.com/title/tt0346723, http://en.wikipedia.org/wiki/Chalte_Chalte_%282003_film%29",
Charas,(1976),8,Ramanand Sagar,Ramanand Sagar,"Dharmendra, Hema Malini, Aruna Irani, Tom Alter, Sailesh Kumar, Madhumati, Manju, Sajjan, Ajit, Amjad Khan, Keshto Mukherjee, Asrani, Sapru, Jairaj, Sujit Kumar",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Anand Bakshi, Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0268216, http://en.wikipedia.org/wiki/Charas_(film)",https://www.youtube.com/watch?v=BsBjZClbfGU
Cheeni Kum,(2007),8,R. Balki,Sunil Manchanda,"Amitabh Bachchan, Tabu, Paresh Rawal, Zohra Sehgal, Swini Khara, Vinay Jain, Krishna Bhatt, Nikhil Ratnaparkhi, Pradeep Shukla, Jameel Khan","Manoj Tapadia, Sameer",Ilaiyaraja,"Amitabh Bachchan, Shreya Ghoshal, Vijay Prakash","https://www.imdb.com/title/tt0976026, http://en.wikipedia.org/wiki/Cheeni_Kum",
Chhaya,(1961),7,Hrishikesh Mukherjee,,"Sunil Dutt, Asha Parekh, Nirupa Roy, Lalita Pawar, Nazir Hussain, Asit Sen, Achla Sachdev, Mohan Choti, Ashim Kumar, Krishan Dhawan, Farida Dadi, R P Kapoor, Ashok, Gajraj Rao",Rajindra Krishan,"Salil Chowdhary, Kanu Ghosh","Lata Mangeshkar, Mohammed Rafi, Mukesh, Talat Mahmood",https://www.imdb.com/title/tt0054737,https://www.youtube.com/watch?v=ULT74AGBXes
Chhota Bhai,(1966),9,K P Arora,,"Rehman, Nutan, Mahesh Kumar, Jagirdar, Sulochana Chatterjee, Lalita Pawar",Anand Bakshi,Laxmikant Pyarelal,"Asha Bhosle, Lata Mangeshkar, Mohammed Rafi",https://www.imdb.com/title/tt0213551,
Chhoti Bahen,(1959),9,T L V Prasad,,"Balraj Sahni, Nanda, Rehman, Shyama, Veena, Mehmood, Badri Prasad, Dhumal, Radha Kishan, Shobha Khote, Sudesh Kumar","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Manna Dey, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0255050, http://en.wikipedia.org/wiki/Chhoti_Bahen","https://www.youtube.com/watch?v=ILic1akK57U, https://www.youtube.com/watch?v=VqT-XpH1uLE"
Chirag,(1969),8,Raj Khosla,"Premji, Suchitra","Sunil Dutt, Asha Parekh, Kanhaiya Lal, Mukri, Om Parkesh, Lalita Pawar, Sulochana, Dulari, Birbal, Nasir Husain",Majrooh Sultanpuri,Madan Mohan,"Lata Mangeshkar, Mohammed Rafi","https://www.imdb.com/title/tt0064164, http://en.wikipedia.org/wiki/Chirag",
Chitchor,(1976),5,Basu Chatterjee,Tarachand Barjatya,"Amol Palekar, Zarina Wahab, Vijayendra Ghatge, A K Hangal, Raju Shreshta, Dina Pathak",Ravindra Jain,Ravindra Jain,"Hemlata, Yesudas","https://www.imdb.com/title/tt0157460, http://en.wikipedia.org/wiki/Chitchor",
Chitralekha,(1964),8,Kidar Sharma,A K Nadiadwala,"Pradeep Kumar, Meena Kumari, Ashok Kumar, Mehmood, Zeb Rehman, Achla Sachdev, Minu Mumtaz, Bela Bose, Naseem Banoo, Neeta, Rehana, Shobhna Samarth, Altaf, Raj Kamal, Jilani",Sahir Ludhianvi,Roshan,"Asha Bhosle, Lata Mangeshkar, Manna Dey, Mohammed Rafi, Usha Mangeshkar","https://www.imdb.com/title/tt0138360, http://en.wikipedia.org/wiki/Chitralekha_(1964_film)",https://www.youtube.com/watch?v=mEdO804882M
Dil Ek Mandir,(1963),7,"C V Sridhar, P Madhavan",,"Raj Kumar, Meena Kumari, Rajendra Kumar, Mehmood, Shobha Khote, Achla Sachdev, Manmohan Krishna, Sunder, Krishna Kumari, Ram Mohan, Padmini, Keshav","Hasrat Jaipuri, Shailendra","Shankarsinh Raghuwanshi, Jaikishan Dayabhai Pankal","Lata Mangeshkar, Mohammed Rafi, Suman Kalyanpur","https://www.imdb.com/title/tt0139157, http://en.wikipedia.org/wiki/Dil_Ek_Mandir","https://www.youtube.com/watch?v=o02Ph89ZmFI, https://www.youtube.com/watch?v=irrGPGwgVOs"
Dil Hai Ke Manta Nahin,(1991),12,Mahesh Bhatt,"Gulshan Kumar, Mukesh Bhatt","Aamir Khan, Pooja Bhatt, Anupam Kher, Shammi, Deepak Tijori, Rakesh Bedi, Javed Khan, Virendra Saxena, Tiku Talsania, Avtar Gill, Mushtaq Khan, Amrit Patel, Shobha Khote, Rajesh Puri, Ghanshyam","Aziz Khan Old, Faiz Anwar, Rani Malik, Sameer","Nadeem Saifee, Shravan","Abhijeet, Anuradha Paudwal, Babla Mehta, Kumar Sanu","https://www.imdb.com/title/tt0101733, http://en.wikipedia.org/wiki/Dil_Hai_Ke_Manta_Nahin",
Dilwale Dulhania Le Jayenge,(1995),7,Aditya Chopra,Yash Chopra,"Shahrukh Khan, Kajol, Parmeet Sethi, Satish Shah, Amrish Puri, Farida Jalal, Anupam Kher, Mandira Bedi, Achla Sachdev, Himani Shivpuri, Karan Johar, Arjun Sablok, Pooja Ruparel, Lalit Tiwari, Hemlata, Anita, Pallavi",Anand Bakshi,"Jatin Pandit, Lalit Pandit","Abhijeet, Asha Bhosle, Kumar Sanu, Lata Mangeshkar, Manjeet Kaur, Pamela Chopra, Udit Narayan","https://www.imdb.com/title/tt0112870, http://en.wikipedia.org/wiki/Dilwale_Dulhania_Le_Jayenge",https://www.youtube.com/watch?v=SkS76X_whD8
Do Ankhen Barah Haath,(1957),6,V Shantaram,,"V Shantaram, Sandhya, Sunil, David, Date, Ulhas, B M Vyas, S K Singh, Paul Sharma, Baburao Pendharkar, Gajendra, Samar",Bharat Vyas,Vasant Desai,"V Shantaram, Lata Mangeshkar, Manna Dey","https://www.imdb.com/title/tt0050322, http://en.wikipedia.org/wiki/Do_Ankhen_Barah_Haath","https://www.youtube.com/watch?v=07MSMkvy6t4, https://www.youtube.com/watch?v=wTUcfi9RnmE"
Do Raaste,(1970),7,Raj Khosla,Raj Khosla,"Rajesh Khanna, Mumtaz, Prem Chopra, Bindu, Asit Sen, Kamini Kaushal, Jayant, Balraj Sahni, Veena, Jr Mehmood, Birbal, Kumud Bole, Mohan Choti, Uma Dutt, Leela Mishra, Mukri, Tun Tun, Johnny Walker, Shah Agha, Krishnakant, Srandhir, Ravikant, Indu Shivraj",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Kishore Kumar, Lata Mangeshkar, Mohammed Rafi, Mukesh","https://www.imdb.com/title/tt0064241, http://en.wikipedia.org/wiki/Do_Raaste",
Dosti,(1964),7,Satyen Bose,Tarachand Barjatya,"Sushil Kumar, Sudhir Kumar, Farida Dadi, Leela Mishra, Sanjay Khan, Nana Palsikar, Uma Rajoo, Leela Chitnis, Abhi Bhattacharya, Aziz",Majrooh Sultanpuri,"Laxmikant Kudalkar, Pyarelal","Lata Mangeshkar, Mohammad Rafi","https://www.imdb.com/title/tt0146645, http://en.wikipedia.org/wiki/Dosti",https://www.youtube.com/watch?v=FUcnEx-jjOs
Dulari,(1949),12,A R Kardar,,"Suresh, Madhubala, Geeta Bali, Jayant, Amar, Pratima Devi, Nawab, Shyam Kumar",Shakeel Badayuni,Naushad Ali,"Mohammed Rafi, Lata Mangeshkar, Shamshad Begum",https://www.imdb.com/title/tt0130643,"https://www.youtube.com/watch?v=FNR-XXENXPc, https://www.youtube.com/watch?v=fwYkNl6iONs"
Dulhan Wahi Jo Piya Man Bhaaye,(1977),9,Lekh Tandon,Tarachand Barjatya,"Prem Kishen, Rameshwari, Shyamali, Sunder, Madan Puri, Iftekhar, Jagdeep, Shashikala, Leela Mishra, Shivaji, Utpal Dutt",Ravindra Jain,Ravindra Jain,"Hemlata, Ravindra Jain, Yesudas, Banashri Sengupta","https://www.imdb.com/title/tt0150417, http://en.wikipedia.org/wiki/Dulhan_Wahi_Jo_Piya_Man_Bhaaye",
Daadi Maa,(1966),8,L V Prasad,L V Prasad,"Ashok Kumar, Bina Roy, Rehman, Tanuja, Mumtaz, Shashikala, Durga Khote, Mehmood, Kashi Nath, Chand Usmani, Dileep Raj, Purnima, David, Praveen Paul, Mohan Choti, Paro, Kanhaiya Lal, Meenakshi, Mukri, Karan Devan, Janki Das, Randhir",Majrooh Sultanpuri,Roshan,"Lata Mangeshkar, Mohammed Rafi, Asha Bhonsle, Manna Dey, Mehinder Kapoor",https://www.imdb.com/title/tt0175546,"https://www.youtube.com/watch?v=qogz32AvNbU, https://www.youtube.com/watch?v=2nyLHEbTU5Y"
Daag,(1973),6,Yash Chopra,Yash Chopra,"Sharmila Tagore, Rajesh Khanna, Rakhee, Prem Chopra, Madan Puri, Manmohan Krishna, Achla Sachdev, A K Hangal, S N Bannerjee, Iftekhar, Kader Khan, Manmohan, Hari Shivdasani, Baby Pinky, Raju Shreshta, Yashodhara Katju, Habib, Jagdeesh Raj, Karan Dewan, Padma Khanna, Surendra Nath, Aruna",Sahir Ludhianvi,"Laxmikant Kudalkar, Pyarelal","Kishore Kumar, Lata Mangeshkar, Rajesh Khanna","https://www.imdb.com/title/tt0150251, http://en.wikipedia.org/wiki/Daag:_A_Poem_of_Love",
Dabangg,(2010),10,Abhinav Kashyap,"Arbaaz Khan, Dhillin Mehta, Malaika Arora","Salman Khan, Sonakshi Sinha, Arbaaz Khan, Sonu Sood, Vinod Khanna, Dimple Kapadia, Mahesh Manjrekar, Malaika Arora, Om Puri, Anupam Kher, Tinu Anand, Mahie Gill, Amitosh Nagpal","Faiz Anwar, Jalees Sherwani, Lalit Pandit","Sajid, Wajid, Lalit Pandit","Aishwarya, Mamta Sharma, Master Saleem, Rahat Fateh Ali Khan, Salman Khan, Shabaab Sabri, Shreya Ghoshal, Sonu Nigam, Sukhwinder Singh, Wajid","https://www.imdb.com/title/tt1620719, http://en.wikipedia.org/wiki/Dabangg",
Dada,(1979),5,Jugal Kishore,Jugal Kishore,"Vinod Mehra, Bindiya Goswami, Amjad Khan, Jagdeep, Shashi Puri, Jeevan, Raza Murad, Madhu Malini, Indrani Mukherji, Jayshree T, Seema Deo, Ramesh Deo, Rajinder Nath, Vijaya Chowdhary, Satyen Kappu, Mohan Choti, Pallavi Joshi","Asad Bhopali, Ravindra Jain, Kulwant Jani, Mahendra Dehlvi, Gauhar Kanpuri",Usha Khanna,"Vijay Yesudas, Mohammed Rafi, Shailendra Singh, Suman Kalyanpur, Hemlata, Dilraj Kaur",https://www.imdb.com/title/tt0231416,"https://www.youtube.com/watch?v=lQKB_1TOw9s, https://www.youtube.com/watch?v=fUb2TTAx7PU"
Daku Aur Jawan,(1978),4,Sunil Dutt,"Jagdish C Sharma, S P Dutt","Sunil Dutt, Leena Chandavarkar, Reena Roy, Vinod Khanna, Asrani, Bindu, Ranjeet",Anand Bakshi,Laxmikant Pyarelal,"Kishore Kumar, Asha Bhosle, Lata Mangeshkar, Mohammed Rafi, Mukesh, Anuradha Paudwal","https://www.imdb.com/title/tt0077392, http://en.wikipedia.org/wiki/Daku_Aur_Jawan","https://www.youtube.com/watch?v=xSPHLn4Cjic, https://www.youtube.com/watch?v=6QZATm3Rfsg"
Dariya Dil,(1988),6,K Ravi Shankar,Vimal Kumar,"Govinda, Kimi Katkar, Shakti Kapoor, Shoma Anand, Kader Khan, Asrani, Shashi Puri, Raj Kiran, Seema Deo, Gulshan Grover, Roshani, Ghanshyam, Meena T, Viju Khote, Yunus Parvez",Indeevar,Rajesh Roshan,"Mohammed Aziz, Sadhna Sargam, Chandrani Mukherjee, Shabbir Kumar","https://www.imdb.com/title/tt0377738, http://en.wikipedia.org/wiki/Dariya_Dil",
Darling Darling,(1977),6,Gogi Anand,,"Dev Anand, Zeenat Aman, Prem Chopra, Sajjan, Mehmood, Nadira, Dheeraj Kumar, Jeevan, Durga Khote, Helen, Birbal",Anand Bakshi,R D Burman,"Asha Bhosle, Kishore Kumar, R D Burman","https://www.imdb.com/title/tt0275291, http://en.wikipedia.org/wiki/Darling_Darling_(Hindi_film)","https://www.youtube.com/watch?v=Gg8TsmzhXKs, https://www.youtube.com/watch?v=vnL_t3IbnvI"
Deedar,(1951),11,Nitin Bose,,"Dilip Kumar, Nargis Dutt, Ashok Kumar, Nimmi, Baby Tabassum, Yakub, Sapru",Shakeel Badayuni,Naushad Ali,"G M Durrani, Lata Mangeshkar, Mohammed Rafi, Mukesh, Shamshad Begum","https://www.imdb.com/title/tt0137459, http://en.wikipedia.org/wiki/Deedar_%281951_film%29","https://www.youtube.com/watch?v=vAKJwWqjtKw, https://www.youtube.com/watch?v=UoLyjiFmTKU"
Deewaar,(1975),6,Yash Chopra,Gulshan Rai,"Aruna Irani, Amitabh Bachchan, Parveen Babi, Neetu Singh, Iftekhar, Shashi Kapoor, Nirupa Roy, Madan Puri, Yunus Parvez, A K Hangal, Manmohan Krishan, Satyen Kappu, Sudhir, Jagdish Raaj, Raj Kishore, Mohan Sherry, Raju Shreshta, Kamal Kapoor, Raj Verma, Vikas Anand, Dulari, Pardesi, Sapru, Master Alankar, Master Raju, Rajpal, Kuljit, Raman Kumar",Sahir Ludhianvi,"R D Burman, Basu Chakraborty, Maruti Rao, Basu Manohari","Asha Bhosle, Bhupinder, Kishore Kumar, Manna Dey","https://www.imdb.com/title/tt0072860, http://en.wikipedia.org/wiki/Deewaar_%281975_film%29",
Deewana Mastana,(1997),6,David Dhawan,"Bharat Shah, Ketan Desai, Prakash Pange","Anil Kapoor, Govinda, Juhi Chawla, Johny Lever, Anupam Kher, Kader Khan, Shakti Kapoor, Salman Khan, Raveena Tandon, Reema Lagoo, Saeed Jaffrey, Satish Kaushik, Upasna Singh, Pratibha Sinha, David Dhawan, Avtar Gill, Guddi Maruti, Himani Shivpuri, Shiva, Shashi Kiran, Babban Yadav, Tiku Talsania",Anand Bakshi,Laxmikant,"Alka Yagnik, Kavita Krishnamurthy, Poornima, Sonu Nigam, Udit Narayan, Vinod Rathod","https://www.imdb.com/title/tt0118957, http://en.wikipedia.org/wiki/Deewana_Mastana","https://www.youtube.com/watch?v=rmQgj2ehIpk, https://www.youtube.com/watch?v=HmxwluUDjHI"
Dekh Kabira Roya,(1957),10,Amiya Chakraborty,,"Anoop Kumar, Anita Guha, Shobha Khote, Ameeta, Sunder, Daljit K, Jawahar Kaul, Paul, Indu Shivraj, Parveen Paul",,Madan Mohan,"Asha Bhosle, Geeta Dutt, Lata Mangeshkar, Manna Dey, Talat Mahmood","https://www.imdb.com/title/tt0157524, http://en.wikipedia.org/wiki/Dekh_Kabira_Roya","https://www.youtube.com/watch?v=0vq3RhBWV9A, https://www.youtube.com/watch?v=vfpwrpqHCK0"
Delhi 6,(2009),10,Rakeysh Omprakash Mehra,"Rakeysh Omprakash Mehra, Ronnie Screwvala","Abhishek Bachchan, Sonam Kapoor, Atul Kulkarni, Divya Dutta, Om Puri, Rishi Kapoor, Waheeda Rehman, Pawan Malhotra, Supriya Pathak, Tanvi Azmi, Vijay Raaz, Deepak Dobriyal, K K Raina, Akhilendra Mishra, Sheeba Chaddha, Cyrus Sahukar, Daya Shanker Pandey, Rajat Dholakia, Khalid Mohamed, Vinayak, Aditi Rao Hydari, Indrajeet Sarkar, Geeta Agarwal, Rajiv Mathur, Geeta Bisht, Hussan, Prem Chopra, Amitabh Bachchan, Raghuveer Yadav","Claire, Prasoon Joshi, Vivinenne Pocha","A R Rahman, Rajat Dholakia","A R Rahman, Amitabh Bachchan, Ash King, Backing Chinmayee, Benny Dayal, Blaaze, Bonnie Chakraborty, Claire, Gujri Todi, Javed Ali, Kailash Kher, Karthik, Kishori Gowariker, Mohit Chauhan, Naresh, Rekha Bhardwaj, Shraddha Pandit, Shreya Ghoshal, Srinivas, Sujata Majumdar, Tanvi, Ustad Bade Ghulam Ali","https://www.imdb.com/title/tt1043451, http://en.wikipedia.org/wiki/Delhi_6",https://www.youtube.com/watch?v=wDtXbDKBjEA
Ek Duuje Ke Liye,(1981),7,K Balachander,T L V Prasad,"Kamal Haasan, Rati Agnihotri, Madhavi, Shobha Khote, Asrani, Satyen Kappu, Madhu Malini, Arvind Deshpande, Raza Murad, Athili Lakshmi, Rakesh Bedi, Geeta",Anand Bakshi,"Laxmikant Kudalkar, Pyarelal","Anup Jalota, Anuradha Paudwal, Lata Mangeshkar, S.P.Balasubramaniam","https://www.imdb.com/title/tt0082314, http://en.wikipedia.org/wiki/Ek_Duuje_Ke_Liye","https://www.youtube.com/watch?v=xHphkfUAeJk, https://www.youtube.com/watch?v=lZoMGyxVViQ"
Ek Musafir Ek Hasina,(1962),10,Raj Khosla,,"Joy Mukherjee, Sadhana, Dhumal, Malka, Rajendra Nath, Kamal Kapoor, Jagdeesh Raj",Raja Mehdi Khan,,"Asha Bhosle, Mohammed Rafi","https://www.imdb.com/title/tt0055949, http://en.wikipedia.org/wiki/Ek_Musafir_Ek_Hasina",https://www.youtube.com/watch?v=KEPb9B6QL50
Ek Phool Do Mali,(1969),8,Devendra Goel,Devendra Goel,"Sanjay Khan, Sadhana, Balraj Sahni, Bobby, Durga Khote, Brahmachari, David, Shabnam, Manorama, Shyam Kumar, Vijay (5), Sultan, Nazir Kashmiri, Uma Dutt, Abu Baker, Manzoor, Darshan, Dubey, Kuthiravattam Pappu, Yasmin, Razia, Ajay Goel, Jyotin Goel, Sunil Goel","Ravi, Prem Dhawan",Ravi,"Asha Bhosle, Mohammed Rafi","https://www.imdb.com/title/tt0214665, http://en.wikipedia.org/wiki/Ek_Phool_Do_Mali",
Ek Rishtaa,(2001),9,Suneel Darshan,Suneel Darshan,"Amitabh Bachchan, Rakhee, Akshay Kumar, Karisma Kapoor, Juhi Chawla, Mohnish Behl, Simone Singh, Alok Nath, Aashish Vidyarthi, Shakti Kapoor, Sharat Saxena, Anang Desai, Kunika, Avtar Gill, Tej Sapru, Anil Nagrath, Vishwajeet Pradhan, Suniel Shetty, Nagma, Malay Chakraborty",Sameer,Nadeem Shravan,"Kumar Sanu, Alka Yagnik,  Mohammed Aziz, Anuradha Paudwal, Sarika Kapoor","https://www.imdb.com/title/tt0284083, http://en.wikipedia.org/wiki/Ek_Rishtaa",https://www.youtube.com/watch?v=V6tZ9KnGe1A
Eklavya - The Royal Guard,(2007),8,Vidhu Vinod Chopra,Vidhu Vinod Chopra,"Amitabh Bachchan, Sanjay Dutt, Jackie Shroff, Saif Ali Khan, Vidya Balan, Sharmila Tagore, Boman Irani, Jimmy Sheirgill, Raima Sen, Parikshat Sahni, Pankaj Jha, Meeta Vasisht, Swanand Kirkire",Swanand Kirkire,Shantanu Moitra,"Hamsika Iyer, Pranab Biswas, Ravindra Sathe, Sonu Nigam, Sunidhi Chauhan, Swanand Kirkire","https://www.imdb.com/title/tt0459605, http://en.wikipedia.org/wiki/Eklavya_-_The_Royal_Guard",
Ek Paheli,(1971),7,Naresh Kumar,Kuldip Talwar,"Feroz Khan, Tanuja, Sanjeev Kumar, Aruna Irani, Rajendra Nath, Madan Puri, Bipin Gupta, Jeevan, Uma Khosla, Tun Tun, B M Vyas, Manohar Deepak",Asad Bhopali,Usha Khanna,"Usha Khanna, Mohammed Rafi, Suman Kalyanpur","https://www.imdb.com/title/tt0434915, http://en.wikipedia.org/wiki/Ek_Paheli",https://www.youtube.com/watch?v=np3rlOfVI5A
Eight Shani,(2006),3,Karan Razdan,Lucky Kohli,"Meghna Naidu, Gulshan Grover, Raj Tara, Padmini Kolhapure, Raju Kher, Vastavikta, Surbhi Purohit",,,,"https://www.imdb.com/title/tt0841096, http://en.wikipedia.org/wiki/Eight_Shani",
Ek Ajnabee,(2005),10,Apoorva Lakhia,"Bunty Walia, Jaspreet Singh Walia","Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian, Baby Rucha Vaidya, Vikram Chatwal, Daya Shanker Pandey, Akhilendra Mishra, Aditya Lakhia, Denzil Smith, Raj Zutshi, Kelly Dorjee, Abhishek Bachchan, Lara Dutta, Sanjay Dutt, Pooja Bedi","Jaideep Sahni, Lalit Tiwari, Sameer, Vishal Dadlani","Amar Mohile, Vishal Dadlani, Shekhar Ravjiani","K K, Kailash Kher, Kunal Ganjawala, Shilpa Rao, Sukhwinder Singh, Sunidhi Chauhan, Vishal Dadlani","https://www.imdb.com/title/tt0457875, http://en.wikipedia.org/wiki/Ek_Ajnabee",
Ek Kahani Julie Ki,(2016),5,Aziz Zee,Chetna Sharma,"Rakhi Sawant, Avadh Sharma, Amit Mehra, Sangeeta Tiwari, Jimmy Sharma, Adi Irani, Rajesh Khera, Saniya Pannu, Sonu Baba, Aackruti Nagpal",Taufique Palvi,DJ Sheizwood,Armaan Malik,https://en.wikipedia.org/wiki/Ek_Kahani_Julie_Ki,
Ek Main Aur Ekk Tu,(2012),8,Shakun Batra,"Karan Johar, Ronnie Screwvala, Hiroo Johar","Imran Khan, Kareena Kapoor, Sonia Mehra, Ram Kapoor, Boman Irani, Ratna Pathak, Avantika Malik, Ayesha Devitre, Akshat Verma, Nikhil Kapoor, Rajesh Khattar, Bosco Martis, Zenobia Shroff, Mukul Chaddha, Manasi Scott, Dena Lewis",Amitabh Bhattacharya,Amit Trivedi,"Benny Dayal, Anushka Manchanda, Amit Trivedi, Shilpa Rao, Nikhil D'Souza, Amitabh Bhattacharya, Ash King, Karthik, Vishal Dadlani, Shekhar Ravjiani, Shefali Alvares","https://www.imdb.com/title/tt1703958, http://en.wikipedia.org/wiki/Ek_Main_Aur_Ekk_Tu",
Ek Nazar,(1972),6,B R Ishara,"A C Dewan, Abdul, Anil Khanna","Amitabh Bachchan, Jaya Bachchan, Nadira, Raza Murad, Asit Sen, Tarun Bose, Manmohan, Dulari, Sudhir, Johny Whiskey, Daya Devi, Raja Duggal, Rashid Khan, Kamla, Hamid, Jyoti, Fazlu, Abdul, Manohar, Ramlal, Suman",Majrooh Sultanpuri,"Laxmikant Kudalkar, Pyarelal","Kishore Kumar, Lata Mangeshkar, Mahendra Kapoor, Mohammed Rafi","https://www.imdb.com/title/tt0068532, http://en.wikipedia.org/wiki/Ek_Nazar","https://www.youtube.com/watch?v=rONl_semfP4, https://www.youtube.com/watch?v=vFp-St9fcws"
Ek Paheli Leela,(2015),10,Bobby Khan,"Bhushan Kumar, Krishan Kumar, Ahmed Khan, Shaira Khan","Sunny Leone, Jay Bhanushali, Mohit Alawat, Rajniesh Duggal, Rahul Dev","Kumaar, Manoj Muntashir, Tony Kakkar, Uzair Jaswal","Meet Bros Anjjan, Amaal Mallik, Dr. Zeus, Tony Kakkar, Uzair Jaswal","Tulsi Kumar, Krishna, Kanika Kapoor, Arijit Singh, Neha Kakkar, Alam Khan, Aishwarya Majumdar, Uzair Jaswal","https://www.imdb.com/title/tt4500734, http://en.wikipedia.org/wiki/Ek_Paheli_Leela",
Ek Tha Tiger,(2012),8,Kabir Khan,Aditya Chopra,"Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad","Kausar Munir, Neelesh Misra, Anvita Dutt Guptan","Sohail Sen, Sajid, Wajid","Wajid Ali, Shreya Ghoshal, KK, Palak Muchhal, Mohit Chauhan, Tarannum Mallik","https://www.imdb.com/title/tt2016894, http://en.wikipedia.org/wiki/Ek_Tha_Tiger",https://www.youtube.com/watch?v=-QN6QcpiiQw
Ek Villain,(2014),7,Mohit Suri,Ekta Kapoor,"Sidharth Malhotra, Riteish Deshmukh, Shraddha Kapoor, Kamaal Rashid Khan, Shaad Randhawa, Remo Fernandes",Manoj Muntashir,Ankit Tiwari,Ankit Tiwari,"https://www.imdb.com/title/tt3175038, http://en.wikipedia.org/wiki/Ek_Villain",
Enemmy - Law And Disorder,(2013),5,Ashu Trikha,Yogeeta Bali,"Mithun Chakraborty, Suniel Shetty, Kay Kay Menon, Mahaakshay Chakraborty, Johny Lever, Uvika Chaudhary, Zakir Hussain, Mumait Khan, Akshay Kapoor, Priyanka Upendra, Deepraj Rana","Shabbir Ahmed,  Manthan","Bappa Lahiri, Gourov Dasgupta","Mamta Sharma, Bappi Lahiri, Keshav, Gourav Dasgupta, Torsha","https://www.imdb.com/title/tt2941856, https://en.wikipedia.org/wiki/Enemmy",
English Vinglish,(2012),6,Gauri Shinde,"Sunil A Lulla, Rakesh Jhunjhunwala, R. Balki","Sridevi, Amitabh Bachchan, Mehdi Nebbou, Adil Hussain, Priya Anand",Swanand Kirkire,Amit Trivedi,"Sunidhi Chauhan,  Amit Trivedi,  Shilpa Rao,  Clinton Cerejo,   Bianca Gomes,  Swanand Kirkire,   Neelambari Kirkire,  Natalie Di Luccio","https://www.imdb.com/title/tt2181931, http://en.wikipedia.org/wiki/English_Vinglish",
