Artists,Title,Rating,Number of Votes,Movie Title
"Amit Kumar, Udit Narayan, Anuradha Paudwal, Kavita Krishnamurthy",Deta Jai Jo Re,3.33,15,Bade Miyan Chote Miyan
"Sudesh Bhosle, Udit Narayan",Assi Chutki Nabbe Taal,4.50,4,Bade Miyan Chote Miyan
"Poonam Bhatia, Rakesh Pandit, Sudesh Bhosle, Udit Narayan",Deta Jai Jo Re,3.86,7,Bade Miyan Chote Miyan
"Sudesh Bhosle, Udit Narayan",Assi Chutki Nabbe Taal (Part 1),3.75,8,Bade Miyan Chote Miyan
"Jaspinder Narula, Sudesh Bhosle",Dhin Tak Dhin Hona Tha Ye Ek Din,3.50,2,Bade Miyan Chote Miyan
Krishna,"Bura Hai Chaska Chaska, Laga Hai Wo",4.40,20,Badmaash Company
K. K.,"Beparwah Ho Gaye Hain, Behaya Ho Gaye Hain",4.33,3,Badmaash Company
Rahat Fateh Ali Khan,Chaani Jo Khwab To Mitt Ke Sona Tu Ban Gaya,4.33,3,Badmaash Company
K. K.,Ayaashi (Remix),4.00,2,Badmaash Company
Mohit Chauhan,"Jingle Jingle Sabki Jebe, Jingle Jingle De",4.00,2,Badmaash Company
Benny Dayal,Bachke Bachke Yeh Badmaash Company,3.75,4,Badmaash Company
Krishna Beura,Chaska (Remix),2.40,5,Badmaash Company
"Alka Yagnik, Udit Narayan",Pehle Kabhi Naa Mera Hal Aisa Huwa,4.55,20,Baghban
"Alka Yagnik, Amitabh Bachchan",Main Yaha Tu Waha,4.41,34,Baghban
"Richa Sharma, Amitabh Bachchan",Baag Ko Janam Dene Wala Bagban,4.22,45,Baghban
"Hema Sardesai, Amitabh Bachchan, Alka Yagnik, Aadesh Shrivastava","Chali Chali Phir Chali Chali, Chali Ishk Di Hawa Chali",4.38,13,Baghban
"Udit Narayan, Amitabh Bachchan, Alka Yagnik",Hori Khele Raghuvira Avadh Me,3.88,17,Baghban
"Sudesh Bhosle, Alka Yagnik",Meree Makhna Meree Soniye Chan Baliye,3.50,16,Baghban
"Hema Sardesai, Aadesh Shrivastava",Chali Chali Phir Chali (Version 2),3.50,2,Baghban
,Meree Makhna Meree Soniye Chand Baliye (Instrumental),2.50,2,Baghban
"Sneha Pant, Udit Narayan",Om Jai Jagdeesh - Aarti,3.00,1,Baghban
Shamshad Begum,"Saiya Dil Me Aana Re, Aa Ke Phir Naa Jana Re",4.17,274,Bahar
Kishore Kumar,Qusur Aapakaa Huzur Aapakaa,4.66,29,Bahar
Shamshad Begum,"Dooniya Kaa Maja Le Lo, Dooniya Tumhari Hai",4.59,44,Bahar
Shamshad Begum,O Pardesiya Pyar Ki Bahar Leke,4.50,28,Bahar
Geeta Dutt,Bhagwan Do Ghadi Jara Insan Ban Ke Dekh,4.22,36,Bahar
Talat Mahmood,Aye Zindagi Ke Rahi,4.21,24,Bahar
Shamshad Begum,Chodo Ji Kanhaiya Kalaiyya Hamaar,4.63,19,Bahar
Shamshad Begum,Kusoor Aapka Huzoor Aapka,4.59,17,Bahar
Shamshad Begum,"Pyar Ki Bahar Le Ke, Dil Ka Karar Le Ke",4.25,12,Bahar
Geeta Dutt,"Sataye Huye Ko Satati Hai Duniya, Mitaye Hue Ko Mitati Hai Duniya",4.06,17,Bahar
Asha Bhosle,"Woh Haske Mile Hamse, Ham Pyar Samajh Baithhe",4.51,45,Baharen Phir Bhi Aayengi
Mohammed Rafi,Aap Ke Haseen Rukh Pe Aaj Naya Noor Hai,4.30,2141,Baharen Phir Bhi Aayengi
Mahendra Kapoor,Badal Jaaye Agar Maali,4.30,147,Baharen Phir Bhi Aayengi
"Asha Bhosle, Mohammed Rafi",Dil To Pehle Se Madhosh Hai Matwal Hai,4.56,55,Baharen Phir Bhi Aayengi
Asha Bhosle,Koi Kahade Kahade Kahade Jamane Se Jake,4.55,44,Baharen Phir Bhi Aayengi
"Mohammed Rafi, Asha Bhosle",Suno Suno Miss Chatterjee Mere Dil Matter Ji,4.39,28,Baharen Phir Bhi Aayengi
Amit Kumar,Bade Achchhe Lagate Hai Ye Dharati,4.30,369,Balika Badhu
Mohammed Rafi,Ye Chudiya Nahi,4.75,8,Balika Badhu
Sapan Chakraborty,Aao Re Aao Khelo Holi Biraj Mein,4.50,6,Balika Badhu
Anand Bakshi,Jagat Musafir Khana Laga Hai Aana Jana,4.50,6,Balika Badhu
"Asha Bhosle, Kishore Kumar",O Jhumke Wali Ho O Thumke Wali Ho,4.38,8,Balika Badhu
R D Burman,Doli Me Sawar Sajni Ka Pyar,4.25,8,Balika Badhu
Talat Mahmood,"Tasveer Banata Hoon, Tasveer Nahi Banti",4.45,965,Baradari
"Lata Mangeshkar, Mohammed Rafi",Bhula Nahin Dena Ji Bhula Nahin Dena,4.27,133,Baradari
Lata Mangeshkar,Dard Bhara Dil Bhar Bhar Aaye,4.25,51,Baradari
Lata Mangeshkar,"Chhayi Re Badariya, Abke Baras Bada Zulm Hua",4.57,21,Baradari
"Mohammed Rafi, Lata Mangeshkar","Sitaare Dub Chale, Mohabbat Ki Bas Itani Daastaan",4.52,48,Baradari
"Lata Mangeshkar, Mohammed Rafi",Mohabbat Ki Bus Itni Dastaan Hai,4.39,38,Baradari
Lata Mangeshkar,Piya Ho Aayi Bairan Bahaar Kiye Sola Singar,4.15,20,Baradari
Lata Mangeshkar,Kho Diya Maine Pa Kar Kisi Ko,3.98,45,Baradari
"Lata Mangeshkar, Shamshad Begum","Chhodo Chhodo Ji Baiyyan Mori, Main Najuk Chhori",4.45,11,Baradari
"Lata Mangeshkar, Shamshad Begum",Dil Humse Woh Lagaye Jo Hanske Teer Khaye,3.85,13,Baradari
Shaukat Dehlvi Nashad,Chali Wo Naseeb Ki Aandhiya,2.50,10,Baradari
"Lata Mangeshkar, Mukesh","Chhod Gaye Balam, Mujhe Haay Akela Chod Gaye",4.50,163,Barsaat
Lata Mangeshkar,"Hawa Mein Udta Jaye, Mora Laal Dupatta Malmal Ka",4.37,152,Barsaat
Lata Mangeshkar,Jiya Beqarar Hai,4.34,155,Barsaat
Lata Mangeshkar,Meri Aankhon Mein Bas Gaya Koi Re,4.19,114,Barsaat
Lata Mangeshkar,"Barsat Me Humse Mile Tum Sajan, Tumse Mile Hum",4.55,89,Barsaat
Lata Mangeshkar,Bichhde Hue Pardesi Ik Baar To Aana Tu,4.52,64,Barsaat
"Mukesh, Lata Mangeshkar",Patali Kamar Hai Tirachhi Nazar Hai,4.51,80,Barsaat
Lata Mangeshkar,O O O O Mujhe Kisi Se Pyaar Ho Gayaa,4.27,96,Barsaat
Mohammed Rafi,Main Zindagi Me Hardam Rota Hi Raha Hu,4.24,63,Barsaat
Lata Mangeshkar,Ab Mera Kaun Sahara,4.51,43,Barsaat
Lata Mangeshkar,Prem Nagar Me Basne Walo,4.16,31,Barsaat
Lata Mangeshkar,"Woh Pardesi Man Me, Ho Kaun Disha Se Aa Gaya",4.62,13,Barsaat Ki Ek Raat
"Kishore Kumar, Lata Mangeshkar",Manchali O Manchali Ho Manchali Ho,4.40,10,Barsaat Ki Ek Raat
Lata Mangeshkar,Nadiya Kinare Pe Hamra Bagan,4.33,15,Barsaat Ki Ek Raat
"Lata Mangeshkar, Kishore Kumar",Apne Pyar Ke Sapne Sach Huye,4.42,31,Barsaat Ki Ek Raat
Kishore Kumar,Kaliram Ka Khul Gaya Pol,4.44,18,Barsaat Ki Ek Raat
Kishore Kumar,Ek Ladki Bhigi Bhagi Si,4.39,1425,Chalti Ka Naam Gaadi
"Kishore Kumar, Asha Bhosle","Haal Kaisa Hai Janaab Ka, Kya Khayal Hai Aapka",4.37,1703,Chalti Ka Naam Gaadi
"Kishore Kumar, Asha Bhosle","Main Sitaro Ka Tarana, Main Baharo Ka Fasana",4.37,1154,Chalti Ka Naam Gaadi
"Ashok Kumar, Kishore Kumar, Manna Dey",Babu Samjho Ishare Horn Pukare Pam Pam Pam,4.39,104,Chalti Ka Naam Gaadi
Kishore Kumar,Hum The Woh Thi Aur Sama Rangin,4.39,70,Chalti Ka Naam Gaadi
Asha Bhosle,Ruk Jao Na Ji Aisi Kya Jaldi,4.41,34,Chalti Ka Naam Gaadi
"Asha Bhosle, Sudha Malhotra",Hum Tumhare Hai Jara Ghar Se Nikal Kar,4.38,26,Chalti Ka Naam Gaadi
Kishore Kumar,In Haatho Se Sabki Gaadi,4.17,18,Chalti Ka Naam Gaadi
"Babla, Lata Mangeshkar","Tere Mere Hotho Pe, Mithe Mithe Git Mitwa",4.12,201,Chandni
"Anupama Deshpande, Suresh Wadkar",Lagee Aaj Sawan Kee Phir Woh Jhadee Hain,4.10,336,Chandni
Lata Mangeshkar,Mere Haathon Men Nau Nau Chudiyaan Hain,4.08,104,Chandni
Pamela Chopra,Main Sasuraal Nahin Jaaungi Doli Rakh Do Kahaaro,4.18,65,Chandni
Jolly Mukherjee,Chandni O Meree Chandni,3.97,60,Chandni
Lata Mangeshkar,Tere Dil Me Main Apne Arman Rakh Du,4.21,34,Chandni
"Suresh Wadkar, Nitin Mukesh",Tu Mujhe Suna Main Tujhe Sunaun,4.07,15,Chandni
"Lata Mangeshkar, Vinod Rathod",Mehbuba Shehro Me Se Shehar Suna,3.75,12,Chandni
"Asha Bhosle, Vinod Rathod",Paravat Se Kaali Ghataa Takaraai,3.56,18,Chandni
Kishore Kumar,Shaharon Men Shahar Sunaa Bhai Shahar Sunaa Thaa Dilli,4.50,6,Chandni
,Dance Music (Chandni),3.83,6,Chandni
Mohammed Rafi,"Chaudhavi Ka Chand Ho, Ya Aaftab Ho",4.59,2540,Chaudhvin Ka Chand
Mohammed Rafi,"Mili Khaak Me Muhabbat, Jala Dil Ka Aashiyana",4.25,152,Chaudhvin Ka Chand
"Shamshad Begum, Asha Bhosle",Sharamaa Ke Ye Kyu Sab Pardaanashin,4.43,56,Chaudhvin Ka Chand
Mohammed Rafi,Mera Yar Bana Hai Dulha,4.17,78,Chaudhvin Ka Chand
Mohammed Rafi,Yeh Duniya Gol Hai,4.60,20,Chaudhvin Ka Chand
Geeta Dutt,Balam Se Milan Hoga,4.41,22,Chaudhvin Ka Chand
Mohammed Rafi,Ye Lukhnow Ki Sar Zameen,4.39,33,Chaudhvin Ka Chand
Lata Mangeshkar,Badle Badle Mere Sarkaar Nazar Aate Hain,4.33,39,Chaudhvin Ka Chand
Asha Bhosle,Bedardi Mere Saiya Shabnam Hai Kabhi Shole,4.25,28,Chaudhvin Ka Chand
Asha Bhosle,"Dil Ki Kahani Rang Layi Hai, Allah Duhaai Hai Duhaai Hai",4.06,33,Chaudhvin Ka Chand
"Manna Dey, Lata Mangeshkar",Aaja Sanam Madhur Chandnee Me,4.49,4730,Chori Chori
"Manna Dey, Lata Mangeshkar","Yeh Raat Bhigi Bhigi, Yeh Mast Fizaaye",4.49,5484,Chori Chori
"Lata Mangeshkar, Manna Dey","Jaha Mai Jati Hu, Wahi Chale Aate Ho",4.48,2837,Chori Chori
Lata Mangeshkar,Panchhi Banu Udti Phiru Mast Gagan Me,4.44,1166,Chori Chori
Lata Mangeshkar,Rasik Balma Haay Dil Kyo Lagaya Tose Dil Kyo Lagaya,4.51,166,Chori Chori
"Lata Mangeshkar, Mohammed Rafi",Tum Arabon Kaa Her Pher Karne Wale Ram Ji,4.10,51,Chori Chori
"Lata Mangeshkar, Asha Bhosle",Man Bhaavan Ke Ghar Jaae Gori,4.48,40,Chori Chori
Lata Mangeshkar,O Tim Kaa Timaa,4.47,49,Chori Chori
Mohammed Rafi,All Line Clear,4.14,43,Chori Chori
M L Vasanthakumari,Thillaana,4.58,19,Chori Chori
"Geeta Dutt, Mohammed Rafi","Ae Dil Hai Mushkil Jina Yaha, Zara Hatke",4.39,1074,C. I. D.
"Geeta Dutt, Mohammed Rafi",Aankhon Hi Aankhon Men Ishaaraa Ho Gayaa,4.41,981,C. I. D.
"Shamshad Begum, Mohammed Rafi",Leke Pahla Pahla Pyar (Part 1),4.39,837,C. I. D.
Shamshad Begum,Kahee Pe Nigahe Kahee Pe Nishana,4.26,154,C. I. D.
"Shamshad Begum, Mohammed Rafi, Asha Bhosle",Leke Pahla Pahla Pyar (Part 2),4.24,123,C. I. D.
Geeta Dutt,"Jata Kahan Hai Diwane, Sab Kuchh Yahaan Hai Sanam",4.52,93,C. I. D.
Shamshad Begum,Bujh Meraa Kyaa Naam Re,4.48,83,C. I. D.
"R D Burman, Asha Bhosle","Piyaa Tu Ab To Aa Jaa, Sholaa Saa Man Dahake",4.43,115,Caravan
Asha Bhosle,Daiya Yeh Main Kahan Aa Phasi,4.63,62,Caravan
"Mohammed Rafi, Lata Mangeshkar",Chadhtee Javanee Meree Chal Mastanee,4.49,79,Caravan
"Mohammed Rafi, Asha Bhosle","Are Ho, Goriyaa Kahaan Tera Des Re",4.52,44,Caravan
Asha Bhosle,Abb Jo Mile Hain To,4.45,33,Caravan
Kishore Kumar,Ham Toh Hain Rahee Dil Key,4.07,14,Caravan
"Lata Mangeshkar, Mohammed Rafi","O Siniye Maar Sutya, Kitna Pyara Wada Hai, In Matwali Ankho Ka",4.37,86,Caravan
Lata Mangeshkar,Dilbar Dil Se Pyare Dilbar,4.30,56,Caravan
,Title Music (Caravan),3.00,2,Caravan
Sunidhi Chauhan,You Are My Mind Blowing Mahiya,3.82,11,Cash
Anushka Manchanda,Ae Chhori Jara Nach Ke Dikha,4.50,6,Cash
"Vishal Dadlani, Sunidhi Chauhan, Shekhar Ravjiani",Cash To Da Left For Me (Title Song),4.50,2,Cash
"Vishal Dadlani, Sunidhi Chauhan",Raham Karey Rab,4.50,4,Cash
"Vishal Dadlani, Sunidhi Chauhan","Reham Kare Rab Reham Kare, Shamiyana Meri Ye Baho Kaa",3.80,5,Cash
"Vishal Dadlani, Sunidhi Chauhan",Naa Puchhcho Naa Puchhcho,1.50,2,Cash
Anushka Manchanda,Zara Bachke (Nickin It Rockin It Mix),3.00,1,Cash
"Anushka Manchanda, Shekhar Ravjiani, Vishal Dadlani",Zara Bachke Jee,3.00,1,Cash
Lata Mangeshkar,Aaj Radha Ko Shyam Yaad Aa Gaya,4.14,130,Chaand Ka Tukdaa
Lata Mangeshkar,I Am Very Very Sorry Tera Naam Bhul Gayi,4.00,47,Chaand Ka Tukdaa
"Vipin Sachdeva, Lata Mangeshkar",Dil Deewana Dhoond Raha Hai Mere Roothe Yaar Ko,3.90,41,Chaand Ka Tukdaa
"Jolly Mukherjee, Asha Bhosle",Jo Peete Nahi Sharab Wo Log Hain Kharab,4.40,10,Chaand Ka Tukdaa
Vipin Sachdeva,Tu Lage Chand Ka Tukda,4.17,18,Chaand Ka Tukdaa
Asha Bhosle,Aaja Deewane Aaja Le Chal Aakar Sabko,4.17,6,Chaand Ka Tukdaa
"Asha Bhosle, Vipin Sachdeva",Tu Ladka Hai Londan Ka Main Ladki Hindustani,3.33,6,Chaand Ka Tukdaa
Asha Bhosle,Darwaja Khula Rakhna Mera Yaar Aa Raha Hai,3.20,5,Chaand Ka Tukdaa
Shailendra Singh,Maa Ne Kaha Tha O Beta Kabhi Dil Kisi Ka Na Todo,4.50,34,Chacha Bhatija
"Shailendra Singh, Mohammed Rafi",Bure Kaam Ka Bura Natija,4.42,26,Chacha Bhatija
"Shailendra Singh, Asha Bhosle, Mohammed Rafi",Hey La La Jhumo Zara Jhumo Nacho Jara,4.36,11,Chacha Bhatija
"Mohammed Rafi, Lata Mangeshkar",Tere Shishe Ka Saman Maine Toda,4.11,18,Chacha Bhatija
Kishore Kumar,Jeene Ke Liye,4.67,9,Chacha Bhatija
Lata Mangeshkar,Batli Ko Tod De,4.40,5,Chacha Bhatija
Asha Bhosle,Bhoot Raja Bahar Aaja,4.25,4,Chacha Bhatija
Kishore Kumar,Pinaa Zaruri Hai Jine Ke Liye,3.83,6,Chacha Bhatija
"Krishna, Salim Merchant",Maula Mere Le Le Meri Jaan,4.50,48,Chak De India
"Salim Merchant, Sukhwinder Singh",Kuchh Kariye... Chak Dey Ho Chak Dey India,4.12,43,Chak De India
Hema Sardesai,Badal Pe Panv Hain Ya Jhutha Danv Hai,4.60,10,Chak De India
Shahrukh Khan,Sattar Minute Hai Tumhare Pas,4.56,9,Chak De India
"K. K., Shahrukh Khan",Chak De Chak De Ek Hockey Dungi Rakhke,4.40,5,Chak De India
Anushka Manchanda,"Bad Bad Girls, Naa Roti Khilayegi Naa Chotiya Banayegi",3.00,1,Chak De India
,Hockey Remix... Chal Jara Jara Sa,3.00,1,Chak De India
Kishore Kumar,Chalte Chalte Mere Yeh Git Yad Rakhna,4.26,223,Chalte Chalte
"Lata Mangeshkar, Shailendra Singh","Pyaar Men Kabhi-Kabhi, Aisaa Ho Jaataa Hai Chhoti Si Baat",4.31,59,Chalte Chalte
Kishore Kumar,Chalte Chalte Mere Ye Geet Yaad Rakhna (Sad),4.26,81,Chalte Chalte
Lata Mangeshkar,Dur Dur Tum Rahe Pukarte Hum Rahe,4.33,21,Chalte Chalte
"Bappi Lahiri, Sulakshana Pandit",Jana Kaha Hai Tu,4.25,28,Chalte Chalte
"Sulakshana Pandit, Shailendra Singh",Sapno Ka Raja Koi Man Me Tha Jisko Basaya,3.83,18,Chalte Chalte
,Instrumental (Chalte Chalte),3.00,1,Chalte Chalte
"Abhijeet, Alka Yagnik","Pyar Hamko Bhee Hai, Pyar Tumko Bhee Hai",4.11,170,Chalte Chalte
"Abhijeet, Alka Yagnik",Tauba Tumhare Yeh Ishare,4.39,56,Chalte Chalte
Sukhwinder Singh,O Laai VI Na Gai Te Nibhai VI Na Gai,4.53,40,Chalte Chalte
Abhijeet,Suno Naa Suno Naa Sunlo Naa,4.05,44,Chalte Chalte
"Alka Yagnik, Udit Narayan",Dagariya Chalo,4.45,11,Chalte Chalte
Sonu Nigam,Gumshuda Gumshuda Koi Hua,4.33,3,Chalte Chalte
"Pinky, Preeti, Sukhwinder Singh","Kaisi Divaanagi Hai, O Tujh Par Gagan Se",4.33,3,Chalte Chalte
Sonu Nigam,Gumashudaa Koi Huaa Kahaan Huaa,3.67,3,Chalte Chalte
,Chalte Chalte (Instrumental),1.00,1,Chalte Chalte
"Anand Bakshi, Lata Mangeshkar, Mohammed Rafi",Ke Aaja Teri Yaad Aayi O Baalam,4.22,112,Charas
"Anand Bakshi, Lata Mangeshkar, Mohammed Rafi",Dil Insaan Kaa Ek Taraazu Jo Insan Ko Tole,4.17,24,Charas
"Kishore Kumar, Lata Mangeshkar",Kal Kee Hasin Mulaqaat Ke Liye,4.00,31,Charas
"Kishore Kumar, Lata Mangeshkar",Kal Ki Hasin Mulaaqaat Ke Lie,4.15,13,Charas
Lata Mangeshkar,Raja Naa Jaa Naa,3.17,12,Charas
Lata Mangeshkar,"Aapke Shehar Me Aayee, Mist Kee Hasinaa",4.00,2,Charas
"Mahendra Kapoor, Asha Bhosle",Charas Charas,4.00,2,Charas
Lata Mangeshkar,Main Ek Sharif Ladki Badnam Ho Gai,3.00,7,Charas
Shreya Ghoshal,Mujhe To Jaane Do Na,4.36,14,Cheeni Kum
"Ustad Sultan Khan, Shreya Ghoshal, Kunal Ganjawala","Chini Kam Hai, Chini Kam Hai",4.09,11,Cheeni Kum
Shreya Ghoshal,"Jaane Do Na, Jaane Jaane Do Na, Mujhe To Jaane Do Na",4.00,5,Cheeni Kum
Vijay Prakash,Sunee Sunee Khoyee Khoyee,4.00,2,Cheeni Kum
Shreya Ghoshal,Baatein Hawa Female,3.00,1,Cheeni Kum
"Amitabh Bachchan, Shreya Ghoshal",Bate Hawa Hai Sari,3.00,1,Cheeni Kum
,Melody (Saxophone),3.00,1,Cheeni Kum
,Theme Melody,1.00,1,Cheeni Kum
"Lata Mangeshkar, Talat Mahmood","Itna Na Mujhse Tu Pyar Badha, Ke Main Ek Badal Aawara",4.28,3251,Chhaya
Talat Mahmood,Aansoo Samajh Ke Kyon,4.55,86,Chhaya
Mohammed Rafi,Ye Kah De Hum Insaan Nahi,4.50,36,Chhaya
Talat Mahmood,"Itna Na Mujhse Tu Pyar Badha, Ke Main Ek Badal Aawara (Male)",4.48,29,Chhaya
Lata Mangeshkar,Chham Chham Naachat Aai Bahaar,4.42,36,Chhaya
"Mukesh, Lata Mangeshkar","Dil Se Dil Ki Dor Bandhe, Chori Chori Jane Hum Tum",4.62,78,Chhaya
Talat Mahmood,Ankhon Mein Masti Sharab Ki,4.50,70,Chhaya
Lata Mangeshkar,Ma Mujhe Apne Aanchal Me Chipa Ley,4.29,136,Chhota Bhai
Mohammed Rafi,Raam Tu Sabka Rakhwaala Jab Jab Bhee Ye Man Ghbraya Tune Aake Sambhaala,4.77,13,Chhota Bhai
Lata Mangeshkar,"Na To Ham Darte Hai, Na Ro Ro Marte Hai",3.91,11,Chhota Bhai
Lata Mangeshkar,Bhagwan Ne Apne Jaisa Har Ek Insan Banaya,3.85,13,Chhota Bhai
Lata Mangeshkar,Bhagwan Ne Apne Jaisa Har Ik Insaan Banya (Sad),4.20,5,Chhota Bhai
Asha Bhosle,"Baje Mridang, Kanha Khele Rang, Radha Ke Sang Biraj Me",4.00,2,Chhota Bhai
Lata Mangeshkar,"Diya Jage Saree Raina, Nindiya Na Aaye",4.00,7,Chhota Bhai
Lata Mangeshkar,Diyaa Jage Saari Rainaa Nindiyaa Na Aae,3.25,8,Chhota Bhai
,Duniya Me Har Kisee Kee Kismat Juda Juda Hain,3.00,2,Chhota Bhai
Mukesh,Jaoon Kahan Bata Aye Dil,4.44,1207,Chhoti Bahen
Lata Mangeshkar,Bhaiya Mere Rakhi Ke Bandhan Ko Nibhana (Happy Version),4.42,1263,Chhoti Bahen
"Lata Mangeshkar, Subir Sen",Mai Rangila Pyar Kaa Rahee,4.39,115,Chhoti Bahen
Mohammed Rafi,"Main Rikhsha Wala, Main Riksha Wala",4.40,62,Chhoti Bahen
"Lata Mangeshkar, Manna Dey",O Kali Anaar Ki Na Itna Satao,4.20,80,Chhoti Bahen
Lata Mangeshkar,Ye Kaisa Nyaaye Tera Deepak Tale Andhera,4.65,23,Chhoti Bahen
Lata Mangeshkar,Baagho Me Baharo Me Ithlaata Gaata Aaya Koi,4.53,38,Chhoti Bahen
Lata Mangeshkar,Badi Door Se Aayi Hoon Tera Dil Behlaane,4.44,27,Chhoti Bahen
Lata Mangeshkar,Bhaiya Mere Rakhi Ke Bandhan Ko Nibhana (Sad Version),4.19,31,Chhoti Bahen
Mohammed Rafi,Teri Aankhon Ke Siva Duniya Me Rakha Kya Hai,4.53,536,Chirag
Mohammed Rafi,Chiraag Dil Kaa Jalaao Bahut Andheraa Hai,4.06,50,Chirag
"Lata Mangeshkar, Mohammed Rafi",Teri Aankhon Ke Sivaa Duniyaa Men Rakhaa Kyaa Hai,4.53,49,Chirag
Mohammed Rafi,Jab Dekh Liya To Chhupenge Kahaan,4.52,21,Chirag
Lata Mangeshkar,Chhaayi Barakha Bahaar Pade Angana Phuhaar,4.37,41,Chirag
Lata Mangeshkar,Bhor Hote Kaga Pukare Kahe Ram,4.67,12,Chirag
Lata Mangeshkar,Mere Bichhade Saathi Sunata Ja Mere Geet Hai Tere Liye,4.50,12,Chirag
,Instrumental (Chirag),3.50,2,Chirag
Yesudas,Aaj Se Pehle Aaj Se Jyada,4.42,115,Chitchor
Yesudas,Goree Teraa Ganv Bada Pyara,4.42,173,Chitchor
"Hemlata, Yesudas","Jab Dip Jale Aanaa, Jab Shaam Dhale Aanaa",4.42,191,Chitchor
"Hemlata, Yesudas",Tu Jo Mere Sur Men Sur Milaa Le,4.20,35,Chitchor
"Hemlata, Yesudas",Tu Jo Mere Sur Me Sur Mila Le,4.60,10,Chitchor
Mohammed Rafi,"Man Re Tu Kahe Na Dhir Dhare, Wo Nirmohi Moh Na Jane Jinka Moh Kare",4.59,506,Chitralekha
Lata Mangeshkar,Sansaar Se Bhaage Phirate Ho,4.45,140,Chitralekha
"Usha Mangeshkar, Asha Bhosle","Kahe Tarsaye Jiyara, Yauwan Rut Sajan Ja Ke Na Aaye",4.58,64,Chitralekha
Lata Mangeshkar,Aali Ri Roko Naa Koi,4.76,41,Chitralekha
"Mohammed Rafi, Asha Bhosle",Chha Gaye Badal Nil Gagan Par,4.46,46,Chitralekha
,Sakhi Re Mera Man Uljhe Tan Dole,4.45,40,Chitralekha
Manna Dey,Laagi Manva Ke Bich Kataari Ki Maaraa Gayaa Brahmachaari,3.97,32,Chitralekha
Manna Dey,Mara Gaya Brahmachari,4.50,6,Chitralekha
"Suman Kalyanpur, Mohammed Rafi","Dil Ek Mandir Hai, Pyar Ki Jisme Hoti Hai Puja",3.97,619,Dil Ek Mandir
Mohammed Rafi,Yaad Na Jaye Bite Dino Ki Jake Na Aaye,4.55,264,Dil Ek Mandir
Lata Mangeshkar,Ruk Ja Raat Thehar Ja Re Chanda,4.49,469,Dil Ek Mandir
Suman Kalyanpur,Juhi Ki Kali Meri Laadali,3.74,461,Dil Ek Mandir
Mohammed Rafi,Yahan Koi Nahi Tera Mere Siwa Kehti Hai Jhumti,4.43,93,Dil Ek Mandir
Suman Kalyanpur,Palanhaare Ram Hai Raakhanhare Ram,3.51,77,Dil Ek Mandir
Lata Mangeshkar,Hum Tere Pyaar Mein Saaraa Aalam Kho Baithhe,4.33,136,Dil Ek Mandir
"Kumar Sanu, Anuradha Paudwal",Dil Hai Ke Manta Nahin (Duet),4.14,216,Dil Hai Ke Manta Nahin
"Kumar Sanu, Anuradha Paudwal",Too Pyar Hain Kisee Aur Kaa,4.39,75,Dil Hai Ke Manta Nahin
"Anuradha Paudwal, Kumar Sanu",Galyaan Saankhali Sonyaachi Hi Pori Konaachi,4.29,52,Dil Hai Ke Manta Nahin
Anuradha Paudwal,Dil Hai Ke Manta Nahi (Solo),3.96,51,Dil Hai Ke Manta Nahin
Anuradha Paudwal,Mainu Ishk Da Lagiya Rog,4.38,42,Dil Hai Ke Manta Nahin
"Debashish Dasgupta, Anuradha Paudwal",Dulhan Tu Dulha Mai,4.14,37,Dil Hai Ke Manta Nahin
"Anuradha Paudwal, Kumar Sanu",Adaaye Bhi Hain Muhabbat Bhi Hai,4.50,18,Dil Hai Ke Manta Nahin
Anuradha Paudwal,O Mere Sapno Ke Saudagar,4.40,15,Dil Hai Ke Manta Nahin
,Dil Hai Ke Manta Nahi (Instrumental),4.50,4,Dil Hai Ke Manta Nahin
Anuradha Paudwal,Hum To Mashoor Hue Hai,4.22,9,Dil Hai Ke Manta Nahin
"Kumar Sanu, Anuradha Paudwal",Kaise Mizaaj Aap Ke Hai,4.00,6,Dil Hai Ke Manta Nahin
"Anuradha Paudwal, Abhijeet",Dil Tujhpe Aa Gaya,3.50,6,Dil Hai Ke Manta Nahin
"Lata Mangeshkar, Kumar Sanu",Tujhe Dekha Toh Yeh Jana Sanam,4.19,1447,Dilwale Dulhania Le Jayenge
Lata Mangeshkar,"Mere Khawabon Mein Jo Aaye, Aake Mujhe Chhed Jaye",4.19,140,Dilwale Dulhania Le Jayenge
"Lata Mangeshkar, Udit Narayan",Ho Gaya Hai Tujhko To Pyaar Sajana,4.12,221,Dilwale Dulhania Le Jayenge
Pamela Chopra,Ghar Aaja Pardesee Tera Des Bulaye Re,3.93,117,Dilwale Dulhania Le Jayenge
"S P Balasubramaniam, Lata Mangeshkar","Ye Kudiyaan, Mahandi Lagaake Rakhanaa, Doli Sajaake Rakhanaa",4.18,84,Dilwale Dulhania Le Jayenge
Udit Narayan,"Ruk Jaa, O Dil Deewane",4.13,61,Dilwale Dulhania Le Jayenge
"Abhijeet, Asha Bhosle",Zaraa Saa Jhum Lun Main,4.13,80,Dilwale Dulhania Le Jayenge
Lata Mangeshkar,Ae Maalik Tere Bande Ham (Version 1),4.50,4398,Do Ankhen Barah Haath
V Shantaram,Ai Malik Tere Bande Ham (Male Version),4.19,161,Do Ankhen Barah Haath
